host_iso,host_ns,line
2026-07-16T19:03:53.118896+00:00,142775666,"CSI,A1,4615,fe:e3:be:47:e1:f0,-47,0,4,570635345,64,70,1,45,43,42CSI,A1,4615,fe:e3:be:47:e1:f0,-47,0,4,570635345,64,70,1,45,43,42CSI,A1,4615,fe:e3:be:47:e1:f0,-47,0,4,570635345,64,70,1,45,43,42CSI,A1,4615,fe:e3:be:47:e1:f0,-47,0,4,570635345,64,70,1,45,43,42CSI,A1,40,26,19,16,13,14,15,17,18,21,21,21,20,19,18,17,15,14,11,,38,34,30,26,19,16,13,14,15,17,18,21,21,21,20,19,18,17,15,14,11,,38,34,30,26,19,16,13,14,15,17,18,21,21,21,20,19,18,17,15,14,11,,38,34,30,26,19,16,13,14,15,17,18,21,21,21,20,19,18,17,15,14,11,,38,34,30,26,19,16,13,14,15,17,18,21,21,21,20,19,18,17,15,14,11,,38,34,30,26,19,16,13,14,15,17,18,21,21,21,20,19,18,17,15,14,11,,38,34,30,26,19,16,13,14,15,17,18,21,21,21,20,19,18,17,15,14,11,9,0,0,0,0,0,0,0,0,0,0,0,16,14,12,10,8,8,9,11,15,19,24,28,30,32,33,32,30,28,25,21,18,16,16,22,28,33"
2026-07-16T19:03:53.120162+00:00,144040166,"CSI,A1,4616,fe:e3:be:47:e1:f0,-47,0,4,570635504,64,70,1,44,43,42,38,34,29,23,17,14,12,14,16,18,21,22,23,21,21,18,17,15,13,11,9,7,0,0,0,0,0,0,0,0,0,0,0,18,17,16,13,11,9,8,10,12,17,22,26,28,31,33,34,32,30,27,23,19,17,16,21,27,34"
2026-07-16T19:03:53.871339+00:00,895084666,"CSI,A1,4617,fe:e3:be:47:e1:f0,-46,0,4,571384913,64,117,5,40,40,39,38,35,32,27,22,18,16,16,16,17,18,20,21,21,21,19,19,17,16,14,12,10,0,0,0,0,0,0,0,0,0,0,0,15,14,14,13,11,9,9,10,12,15,19,22,25,27,29,30,29,29,27,24,23,20,18,21,24,30"
2026-07-16T19:03:55.264306+00:00,2287749625,"CSI,A1,4618,fe:e3:be:47:e1:f0,-51,0,4,572778622,64,117,5,20,21,24,25,27,28,28,28,27,26,23,20,17,14,11,9,8,9,10,12,13,14,15,16,16,0,0,0,0,0,0,0,0,0,0,0,14,14,16,16,15,16,14,14,13,12,12,13,14,17,20,23,26,29,30,31,31,30,30,28,25,23"
2026-07-16T19:03:56.336630+00:00,3359851750,"CSI,A1,4619,fe:e3:be:47:e1:f0,-50,0,4,573851104,64,70,1,34,35,37,35,33,30,27,25,20,16,12,10,10,12,15,17,18,19,18,18,17,16,14,13,10,0,0,0,0,0,0,0,0,0,0,0,16,14,13,11,9,8,7,7,9,12,16,20,23,26,27,30,29,29,26,25,21,18,16,15,18,23"
2026-07-16T19:03:56.476816+00:00,3500011250,"CSI,A1,4620,fe:e3:be:47:e1:f0,-50,0,4,573991650,64,70,1,31,33,31,30,29,27,24,21,16,13,10,8,9,10,12,14,15,15,15,15,14,13,12,10,8,0,0,0,0,0,0,0,0,0,0,0,13,14,12,11,9,8,7,8,10,12,16,19,21,24,26,27,26,26,24,22,20,18,15,15,18,21"
2026-07-16T19:03:56.480405+00:00,3503597750,"CSI,A1,4621,fe:e3:be:47:e1:f0,-50,0,4,573991808,64,70,1,34,35,35,35,34,31,27,23,18,15,12,10,10,11,14,16,16,17,17,17,16,16,13,11,8,0,0,0,0,0,0,0,0,0,0,0,15,15,13,12,11,8,7,7,9,13,18,21,24,27,29,30,30,29,27,25,23,19,16,17,19,23"
2026-07-16T19:03:56.574375+00:00,3597593041,"CSI,A1,4622,fe:e3:be:47:e1:f0,-50,0,4,574089573,64,117,5,35,37,36,37,35,32,29,24,20,16,14,11,11,12,14,16,17,17,18,18,17,17,15,13,11,0,0,0,0,0,0,0,0,0,0,0,16,14,13,11,9,8,8,9,12,15,19,22,25,27,29,30,30,28,27,25,22,20,17,18,21,24"
2026-07-16T19:03:56.575198+00:00,3598372416,"STAT,A1,574199,9935,4622,4622,0,215172"
2026-07-16T19:03:57.381593+00:00,4404636166,"CSI,A1,4623,fe:e3:be:47:e1:f0,-50,0,4,574896713,64,70,1,20,21,23,26,27,28,29,27,26,24,22,19,16,13,10,9,9,9,10,12,14,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,13,14,14,14,13,13,11,11,9,9,9,11,13,17,20,22,25,27,29,29,30,29,27,25,22,20"
